"country","year","hhid","grappe","menage","vague","zae","region","milieu","hhweight","hhsize","eqadu1","eqadu2","hgender","hage","hmstat","hreligion","hnation","halfab","heduc","hdiploma","hhandig","hactiv7j","hactiv12m","hbranch","hsectins","hcsp","dali","dnal","dtot","pcexp","zzae","zref","def_spa","def_temp"
"SEN",2018,423012,423,12,1,5,10,1,98.5452270507813,9,6.79999995231628,4.56199073791504,2,38,5,1,7,1,3,0,0,1,1,10,3,9,1554089.59033203,2579883.39796448,4133973,461294.59375,332020.6875,333440.5,0.995741903781891,1.00890946388245
"SEN",2018,424001,424,1,2,5,10,1,172.826019287109,8,6.27999997138977,4.33324432373047,1,33,3,1,7,1,3,0,0,1,1,6,3,9,1176524.27978516,2470455.87738037,3646980.25,457821.96875,332020.6875,333440.5,0.995741903781891,0.991646707057953
"SEN",2018,424002,424,2,2,5,10,1,172.826019287109,4,3.18000000715256,2.60710310935974,2,55,5,1,7,0,1,0,0,1,1,10,3,5,476788.119140625,705008.208496094,1181796.375,296712.53125,332020.6875,333440.5,0.995741903781891,0.991646707057953
"SEN",2018,424003,424,3,2,5,10,1,172.826019287109,9,6.93999999761581,4.86502647399902,2,55,5,1,7,1,3,1,0,5,3,,,,1410076.40820313,1071882.75262451,2481959.25,276952.53125,332020.6875,333440.5,0.995741903781891,0.991646707057953
"SEN",2018,424004,424,4,2,5,10,1,172.826019287109,8,5.86000001430511,4.02613258361816,1,59,2,1,7,1,3,1,1,1,1,4,3,9,653770.668945313,588649.109558105,1242419.75,155966.59375,332020.6875,333440.5,0.995741903781891,0.991646707057953
"SEN",2018,424005,424,5,2,5,10,1,172.826019287109,5,4.20999997854233,3.16717648506165,1,32,2,1,7,0,1,0,0,1,1,10,3,9,1170502.95092773,756234.563812256,1926737.5,386995.375,332020.6875,333440.5,0.995741903781891,0.991646707057953
"SEN",2018,424006,424,6,2,5,10,1,172.826019287109,4,3.13999998569489,2.44471025466919,2,49,2,1,11,0,1,0,0,1,1,4,3,9,1744058.57055664,1199509.39910889,2943568,739038.875,332020.6875,333440.5,0.995741903781891,0.991646707057953
"SEN",2018,424007,424,7,2,5,10,1,172.826019287109,12,7.6599999666214,5.83623170852661,1,48,3,1,7,0,1,0,0,1,1,4,3,4,1823284.01806641,1750254.10852051,3573538.25,299068.3125,332020.6875,333440.5,0.995741903781891,0.991646707057953
"SEN",2018,424008,424,8,2,5,10,1,172.826019287109,12,8.25,6.1313362121582,1,55,3,1,7,1,3,1,0,1,1,10,2,4,3348164.60400391,3382353.00567627,6730517.5,563274.9375,332020.6875,333440.5,0.995741903781891,0.991646707057953
"SEN",2018,424009,424,9,2,5,10,1,172.826019287109,10,7.32499998807907,5.09092664718628,1,29,2,1,7,1,6,2,0,1,1,11,1,3,2735286.62402344,2935180.53543091,5670467,569471.5625,332020.6875,333440.5,0.995741903781891,0.991646707057953
"SEN",2018,424010,424,10,2,5,10,1,172.826019287109,8,6.31999999284744,4.4858865737915,2,64,2,1,7,0,1,0,0,5,3,,,,1988041.24951172,2057666.0657959,4045707.25,507876,332020.6875,333440.5,0.995741903781891,0.991646707057953
"SEN",2018,424011,424,11,2,5,10,1,172.826019287109,8,6.26999998092651,4.33324432373047,2,45,2,1,7,1,4,1,0,1,1,10,3,9,1063735.70800781,1061485.09561157,2125220.75,266788.59375,332020.6875,333440.5,0.995741903781891,0.991646707057953
"SEN",2018,424012,424,12,2,5,10,1,172.826019287109,10,7.96999996900558,5.09092664718628,2,64,5,1,7,0,1,0,0,1,1,7,3,9,2376498.72558594,1866862.99005127,4243361.5,426150.75,332020.6875,333440.5,0.995741903781891,0.991646707057953
"SEN",2018,425001,425,1,1,5,10,1,193.556304931641,9,6.8299999833107,4.56199073791504,1,48,2,1,7,1,8,5,0,1,1,9,2,1,2367280.00317383,1067469.09265137,3434749,383270.78125,332020.6875,333440.5,0.995741903781891,1.01178658008575
"SEN",2018,425002,425,2,1,5,10,1,193.556304931641,8,5.43500000238419,4.18000173568726,1,48,2,1,7,0,1,0,0,1,1,5,3,9,1395321.77978516,424167.85925293,1819489.625,228408.796875,332020.6875,333440.5,0.995741903781891,1.01178658008575
"SEN",2018,425003,425,3,1,5,10,1,193.556304931641,6,4.10999995470047,3.56045484542847,2,42,2,1,10,0,1,0,0,5,3,,,,1880484.92041016,1035848.44580078,2916333.25,488134.0625,332020.6875,333440.5,0.995741903781891,1.01178658008575
"SEN",2018,425004,425,4,1,5,10,1,193.556304931641,5,3.44999998807907,2.68787527084351,1,53,3,1,7,0,1,0,0,1,1,1,3,9,2002640.76098633,2118928.70202637,4121569.5,827838.875,332020.6875,333440.5,0.995741903781891,1.01178658008575
"SEN",2018,425005,425,5,1,5,10,1,193.556304931641,6,3.77499997615814,3.24624681472778,2,26,5,1,7,0,1,0,0,1,1,1,3,8,1673183.66894531,548990.907714844,2222174.5,371946.1875,332020.6875,333440.5,0.995741903781891,1.01178658008575
"SEN",2018,425006,425,6,1,5,10,1,193.556304931641,6,4.78999996185303,3.71639275550842,2,37,2,1,7,0,1,0,0,1,1,10,3,9,233197.825195313,282665.660522461,515863.5,86344.9140625,332020.6875,333440.5,0.995741903781891,1.01178658008575
"SEN",2018,425007,425,7,1,5,10,1,193.556304931641,7,4.22499996423721,3.638516664505,1,58,2,1,7,1,1,0,0,1,1,10,3,9,921195.825195313,690331.911376953,1611527.75,231202.734375,332020.6875,333440.5,0.995741903781891,1.01178658008575
"SEN",2018,425008,425,8,1,5,10,1,193.556304931641,7,5.4099999666214,3.79408812522888,2,33,2,1,7,1,3,1,0,1,1,10,3,9,1047457.62695313,900354.082519531,1947811.75,279448.71875,332020.6875,333440.5,0.995741903781891,1.01178658008575
"SEN",2018,425009,425,9,1,5,10,1,193.556304931641,5,3.93000000715256,3.16717648506165,2,50,2,1,7,1,4,1,0,5,3,,,,341422.229492188,391977.711395264,733399.9375,147307.234375,332020.6875,333440.5,0.995741903781891,1.01178658008575
"SEN",2018,425010,425,10,1,5,10,1,193.556304931641,7,6.05999994277954,3.94895386695862,1,51,2,1,7,1,6,5,0,1,1,9,2,1,1894697.67724609,1198334.61108398,3093032.25,443751.28125,332020.6875,333440.5,0.995741903781891,1.01178658008575
"SEN",2018,425011,425,11,1,5,10,1,193.556304931641,17,12.2799999117851,7.8001594543457,1,43,3,1,7,1,1,0,0,1,1,10,3,9,1171142.67895508,979221.963378906,2150364.75,127032.96875,332020.6875,333440.5,0.995741903781891,1.01178658008575
"SEN",2018,425012,425,12,1,5,10,1,193.556304931641,7,5.1149999499321,3.94895386695862,1,41,3,1,7,0,1,0,0,1,1,10,3,9,900581.668945313,569544.837280273,1470126.5,210916.171875,332020.6875,333440.5,0.995741903781891,1.01178658008575
"SEN",2018,426001,426,1,2,5,10,1,142.782241821289,4,3,2.28110885620117,2,48,5,1,7,0,1,0,1,1,1,10,3,9,879435.474609375,696772.575317383,1576208,395737.09375,332020.6875,333440.5,0.995741903781891,0.991646707057953
"SEN",2018,426002,426,2,2,5,10,1,142.782241821289,2,1.66000002622604,1.61214470863342,2,59,5,1,7,0,1,0,0,5,3,,,,582127.569824219,456245.945800781,1038373.5,521406.9375,332020.6875,333440.5,0.995741903781891,0.991646707057953
"SEN",2018,426003,426,3,2,5,10,1,142.782241821289,7,5.55000007152557,3.94895386695862,1,43,7,1,7,0,3,0,0,1,1,4,3,9,845695.298828125,1275929.93341064,2121625.25,304385.40625,332020.6875,333440.5,0.995741903781891,0.991646707057953
"SEN",2018,426004,426,4,2,5,10,1,142.782241821289,3,2.75999999046326,2.19882225990295,1,23,1,1,7,1,4,1,1,5,3,,,,586290.297363281,1117673.60974121,1703963.875,570416.8125,332020.6875,333440.5,0.995741903781891,0.991646707057953
"SEN",2018,426005,426,5,2,5,10,1,142.782241821289,5,3.58999997377396,2.84862303733826,1,33,2,1,7,1,9,7,0,1,1,9,2,3,1525756.97412109,1365592.89898682,2891349.75,580742.8125,332020.6875,333440.5,0.995741903781891,0.991646707057953
"SEN",2018,426006,426,6,2,5,10,1,142.782241821289,3,2.55000001192093,2.19882225990295,1,66,2,1,7,1,9,8,0,1,1,11,2,1,2161123.94238281,8010006.26135254,10171130,3404875,332020.6875,333440.5,0.995741903781891,0.991646707057953
"SEN",2018,426007,426,7,2,5,10,1,142.782241821289,3,2.55000001192093,2.19882225990295,1,75,2,1,7,1,6,2,1,5,3,,,,1075303.80078125,868788.306518555,1944092.125,650801.875,332020.6875,333440.5,0.995741903781891,0.991646707057953
"SEN",2018,426008,426,8,2,5,10,1,142.782241821289,5,3.49000000953674,3.00836849212646,2,76,5,1,7,0,1,0,0,5,3,,,,2466495.82696533,1245625.4397583,3712121.25,745599.0625,332020.6875,333440.5,0.995741903781891,0.991646707057953
"SEN",2018,426009,426,9,2,5,10,1,142.782241821289,19,14.5349999666214,9.07845973968506,1,52,3,1,7,0,1,0,0,1,1,1,3,9,2577606.07080078,2870634.67739868,5448240.5,287975.71875,332020.6875,333440.5,0.995741903781891,0.991646707057953
"SEN",2018,426010,426,10,2,5,10,1,142.782241821289,4,2.89999997615814,2.44471025466919,1,41,2,1,7,1,6,5,1,1,1,9,1,3,1355141.90783691,1582550.70336914,2937692.5,737563.75,332020.6875,333440.5,0.995741903781891,0.991646707057953
"SEN",2018,426011,426,11,2,5,10,1,142.782241821289,1,0.790000021457672,1,1,53,2,1,7,1,6,2,1,1,1,8,3,2,527573.650390625,848579.556335449,1376153.25,1382038.125,332020.6875,333440.5,0.995741903781891,0.991646707057953
"SEN",2018,426012,426,12,2,5,10,1,142.782241821289,2,2,1.61214470863342,1,37,2,1,7,1,6,2,0,1,1,11,1,2,930703.02734375,1267670.88098145,2198374,1103887.5,332020.6875,333440.5,0.995741903781891,0.991646707057953
