"country","hhid","logem","mur","toit","sol","eauboi_ss","eauboi_sp","elec_ac","elec_ur","elec_ua","ordure","toilet","eva_toi","eva_eau","tv","fer","frigo","cuisin","ordin","decod","car","superf","grosrum","petitrum","porc","lapin","volail","sh_id_demo","sh_co_natu","sh_co_eco","sh_id_eco","sh_co_vio","sh_co_oth"
"SEN",7006,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0
"SEN",7007,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",7008,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,,0,0,0,0,0,0,0,0,0,0,0
"SEN",7009,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,,0,0,0,0,0,0,0,0,0,0,0
"SEN",7010,3,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0
"SEN",7011,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,,0,3,0,0,0,1,0,0,0,0,0
"SEN",7012,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",8001,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",8002,3,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",8003,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,0
"SEN",8004,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,,0,0,0,0,0,0,0,0,0,0,0
"SEN",8005,3,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0
"SEN",8006,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0
"SEN",8007,3,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",8008,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",8009,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,,0,2,0,0,150,1,0,0,0,0,0
"SEN",8010,3,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",8011,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",8012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",9001,3,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,1,0,0
"SEN",9002,3,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,1,0,0,0,0
"SEN",9003,3,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0
"SEN",9004,3,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",9005,4,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,0
"SEN",9006,3,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",9007,3,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",9008,3,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,,0,0,0,0,0,1,1,1,1,0,0
"SEN",9009,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",9010,2,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,,0,8,0,0,0,0,0,0,0,0,0
"SEN",9011,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0
"SEN",9012,3,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0
"SEN",10001,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,,0,1,0,0,0,1,0,0,0,0,0
"SEN",10002,3,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0
"SEN",10003,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,,0,5,0,0,0,0,0,0,0,0,0
"SEN",10004,3,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,0
"SEN",10005,4,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",10006,3,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",10007,3,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",10008,3,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",10009,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0
