"vague","grappe","menage","s11q00","s11q01","s11q02","s11q03__1","s11q03__2","s11q03__3","s11q04","s11q05","s11q06","s11q07","s11q08","s11q09a","s11q09b__0","s11q09b__1","s11q09b__2","s11q09b__3","s11q09b__4","s11q09b__5","s11q09b__6","s11q09b__7","s11q09b__8","s11q09b__9","s11q09b__10","s11q09b__11","s11q09b__12","s11q09b__13","s11q09b__14","s11q09b__15","s11q10","s11q11","s11q12","s11q13","s11q14","s11q15","s11q16","s11q17","s11q18","s11q19","s11q20","s11q21","s11q22","s11q23","s11q24a","s11q24b","s11q25","s11q26","s11q27a","s11q27b","s11q28","s11q29a","s11q29b_heure","s11q29b_minute","s11q30","s11q31a","s11q31b_heure","s11q31b_minutes","s11q32","s11q33__1","s11q33__2","s11q33__3","s11q33__4","s11q33__5","s11q33__6","s11q33__7","s11q34","s11q35","s11q36","s11q37a","s11q37b","s11q38","s11q39","s11q40","s11q41","s11q42","s11q43","s11q44","s11q45a","s11q45b","s11q46","s11q47","s11q48a","s11q48b","s11q49","s11q50","s11q51","s11q52a","s11q52b","s11q53__1","s11q53__2","s11q53__3","s11q53__4","s11q53__5","s11q53__6","s11q53__7","s11q53__8","s11q54","s11q55","s11q56","s11q57","s11q58","s11q59","s11q60","s11q61"
2,547,1,1,5,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,,2,,2,4,4,2,2,,,,1,500,4,4,10,2,0,5,10,2,0,3,2,,,,,,,,4,,,,,4,,,,,2,,,,2,,,,,2,,,,1,0,0,0,0,0,0,0,3,8,2,,4,5,4,2
1,329,8,1,2,8,0,0,0,1,,,,,1,1,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,2,,,,2,,2,,2,1,1,1,1,2,7000,3,2,,1,1,0,,,,0,,,,2,,,,,,,,1,3,1,16000,3,1,1,2,2,5,2,,,,2,,,,,2,,,,0,0,0,1,0,0,0,0,2,3,2,,2,1,4,
2,67,1,1,3,1,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,2,2,,,,2,,3,3,10,5,0,15,10,5,0,15,2,,,,,,,,2,2,2,2500,2,2,,,,,2,,,,2,,,,,2,,,,0,0,0,1,0,0,0,0,4,5,1,3,2,1,4,
2,214,1,6,3,8,0,0,0,1,,,,,1,1,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,2,,,,2,,2,,2,1,3,1,1,,15000,2,2,,1,1,0,,,,0,,,,2,,,,,,,,3,,,32000,3,1,2,,,,2,,,,2,,,,,1,,2000,2,0,0,0,1,0,0,0,0,5,3,2,,3,2,4,2
1,319,11,2,3,5,0,0,0,1,,,,,1,1,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,2,,,,2,,2,,2,1,2,2,1,2,5000,2,2,,2,2,0,,,,0,,,,2,,,,,,,,4,,,,,6,,,,,2,,,,2,,,,,2,,,,0,1,0,0,0,0,0,0,5,3,2,,2,2,4,1
2,14,1,1,3,1,0,0,0,3,,,,,2,,,,,,,,,,,,,,,,,1,1,,,,,2,,2,1,1,1,1,,2000,3,2,,2,2,0,,,,0,,,,2,,,,,,,,1,,1,12500,3,1,1,1,1,4,2,,,,2,,,,,2,,,,0,0,0,1,0,0,0,0,2,3,1,1,2,5,5,
1,137,2,1,5,2,0,0,0,1,,,,,1,1,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,2,,,,2,,2,,2,7,4,3,2,,,,2,,6,6,50,5,0,5,50,5,0,5,2,,,,,,,,4,,,,,7,,,,,2,,,,2,,,,,2,,,,0,1,0,0,0,0,0,0,5,7,1,1,2,1,4,1
2,579,1,1,3,6,0,0,0,1,,,,,2,,,,,,,,,,,,,,,,,1,1,,,,,2,,2,4,3,2,2,,,,2,,6,6,50,1,0,2,50,1,0,2,2,,,,,,,,1,,2,7500,2,1,1,5,3,2,2,,,,2,,,,,2,,,,1,2,0,0,0,0,0,0,1,8,2,,4,2,4,4
2,142,1,3,3,11,0,0,1,1,,,,,2,,,,,,,,,,,,,,,,,1,1,,,,,2,,2,1,3,1,1,,4800,3,2,,1,1,0,,,,0,,,,2,,,,,,,,1,,2,30000,2,1,1,2,3,1,2,,,,2,,,,,2,,,,0,1,0,2,0,0,0,0,5,2,2,,4,1,1,2
2,340,1,1,3,5,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,,2,,1,7,3,3,1,,5500,2,2,,2,2,0,,,,0,,,,2,,,,,,,,4,,,,,4,,,,,2,,,,2,,,,,2,,,,1,0,0,0,0,0,0,0,5,11,,,,,4,6
