"vague","grappe","menage","s07aq00","s07aq01b","s07aq02b","s07aq03b","s07aq04b","s07aq05b","s07aq06b","s07aq07b","s07aq08b","s07aq09b","s07aq10b","s07aq11b","s07aq12b","s07aq13b","s07aq14b","s07aq15b","s07aq16b","s07aq17b","s07aq18b","s07aq19b","s07aq20b","s07aq21b"
1,580,4,1,1,3000,,4,,,4,,,4,,,4,,,4,,,4,,
1,47,4,12,4,,,4,,,4,,,4,,,4,,,1,3000,,1,9000,
2,284,1,12,4,,,2,,2500,4,,,1,600,,4,,,4,,,4,,
1,514,3,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,454,1,1,4,,,4,,,4,,,1,1750,,1,500,,4,,,4,,
1,413,12,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,256,1,1,4,,,4,,,4,,,2,,4000,4,,,4,,,4,,
2,113,1,2,4,,,2,,15000,4,,,4,,,4,,,2,,1000,4,,
2,556,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,329,5,2,4,,,4,,,4,,,1,1300,,4,,,4,,,4,,
1,346,1,3,1,3000,,4,,,4,,,4,,,4,,,4,,,4,,
2,105,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,487,9,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,558,1,1,4,,,2,,2500,2,,1000,4,,,4,,,4,,,4,,
1,189,2,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,59,10,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,292,1,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,321,6,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,431,2,5,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,292,2,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,20,1,7,4,,,4,,,4,,,1,8000,,4,,,4,,,4,,
2,492,1,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,577,1,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,380,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,491,6,8,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,274,1,2,4,,,1,7500,,4,,,4,,,4,,,4,,,4,,
2,270,1,2,1,300,,4,,,4,,,4,,,4,,,4,,,4,,
1,597,3,1,4,,,4,,,4,,,4,,,1,700,,4,,,2,,1800
2,80,1,6,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,391,1,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,468,4,1,4,,,4,,,4,,,4,,,4,,,1,2450,,4,,
2,403,1,1,2,,3500,2,,7000,2,,5000,2,,2500,4,,,4,,,4,,
2,276,1,1,4,,,4,,,4,,,1,350,,4,,,4,,,4,,
1,377,7,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,464,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,275,10,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,155,1,2,1,6300,,4,,,4,,,1,350,,4,,,1,1500,,4,,
