"hh_id","Sea Production","Afric Azote","Africa Feed","Omega Fishing","Min_tt_factories","Min_Factory_name","mean_tt_factories","mean_Min_tt_factories"
"1_487_9",384.705627484772,504.688383542069,465.960461480711,457.529003975636,384.705627484772,"Sea Production",453.220869120797,453.220869120797
"2_67_1",196.480230740355,35.3847763108502,16.6568542494924,85.1543289325507,16.6568542494924,"Africa Feed",83.4190475583121,83.4190475583121
"2_558_1",617.565583902096,597.281312654634,552.310749906157,513.71277015971,513.71277015971,"Omega Fishing",570.217604155649,570.217604155649
"2_20_1",220.086832458154,13.5710678118655,46.5416305603426,114.796464556282,13.5710678118655,"Afric Azote",98.748998846661,98.748998846661
"1_137_2",177.254833995939,145.497474683058,103.597979746447,95.7106781186547,95.7106781186547,"Omega Fishing",130.515241636025,130.515241636025
"1_47_4",235.222871427475,40.3639610306789,61.7132034355964,129.968037431535,40.3639610306789,"Afric Azote",116.817018331321,116.817018331321
"1_91_8",469.132034355965,410.529003975636,364.587878478681,308.095454429505,308.095454429505,"Omega Fishing",388.086092809947,388.086092809947
"2_113_1",496.203102167831,437.600071787501,391.658946290547,345.894444302728,345.894444302728,"Omega Fishing",417.839141137152,417.839141137152
"2_14_1",215.708152801713,9.32842712474619,42.1629509039022,110.417784899841,9.32842712474619,"Afric Azote",94.4043289325506,94.4043289325506
"2_431_2",467.81832585698,409.215295476651,363.274169979696,324.475180106473,324.475180106473,"Omega Fishing",391.19574285495,391.19574285495
"1_321_6",166.710678118655,75.1126983722081,35.2132034355964,85.0416305603426,35.2132034355964,"Africa Feed",90.5195526217005,90.5195526217005
"2_340_1",142.784271247462,158.725396744416,120.725396744416,147.28174593052,120.725396744416,"Africa Feed",142.379202666703,142.379202666703
"1_413_12",305.681240867132,242.835569799683,196.894444302729,158.095454429505,158.095454429505,"Omega Fishing",225.876677349762,225.876677349762
"2_292_1",248.053823869163,185.79393923934,139.852813742386,101.053823869162,101.053823869162,"Omega Fishing",168.688600180013,168.688600180013
"2_256_1",248.053823869163,185.79393923934,139.852813742386,101.053823869162,101.053823869162,"Omega Fishing",168.688600180013,168.688600180013
"2_454_1",616.059487247686,577.088924499208,531.147799002254,492.34880912903,492.34880912903,"Omega Fishing",554.161254969545,554.161254969545
"2_142_1",180.426406871193,143.154328932551,101.254833995939,89.4680374315354,89.4680374315354,"Omega Fishing",128.575901807805,128.575901807805
"1_346_1",134.39696961967,163.811183182043,125.811183182043,140.066017177982,125.811183182043,"Africa Feed",141.021338290434,141.021338290434
"1_189_2",305.293939239341,469.242207411233,434.857431100382,454.626983722083,305.293939239341,"Sea Production",416.00514036826,416.00514036826
"2_556_1",668.849855149558,647.73715677735,602.766594028873,564.168614282426,564.168614282426,"Omega Fishing",620.880555059552,620.880555059552
"1_329_5",193.28174593052,86.3700576850888,44.4705627484771,96.5416305603426,44.4705627484771,"Africa Feed",105.165999231107,105.165999231107
