"hh_cluster","hh_id","region","departement","urban_rural","hhweight","imp_water_wet","imp_water_dry","imp_cooking","imp_walls","imp_ceiling","imp_floors","toilet_imp","aircon_housing","w_heater","c_fan","armchairs","table_chairs","bed","s_mattres","e_iron","gas_elec_stove","gas_cylinder","non_e_blender","refrigerator","p_fan","tv","land_phone","mobile_p","wardrobes","carpet","microwave","freezer","washing_machine","aircon_asset","car","computer","printer","sat_dish","building_house","c_iron","radio","camera","tablet","unbuilt_land","e_foodprocesor","dvd","motorcycle","improved_stoves","gas_e_hotplate","canoe","v_cleaner","bicycle","hunting_rif","camcorder","guitar","gard_tools","video_camera","hifi","piano","generator","wealth_index_all","fresh_sardinella","fresh_barracuda","fresh_tilapia","fresh_other","smoked_keti_sardinella","smoked_sardinella","dried_fish","crabs","conserves","head_employment","any_adult_employed","any_adult_woman_employed","hh_size","gender_head_hh","any_adult_woman_literate","any_adult_literate","...1.x","NearFact","dist_NearFact","tt_NearFact","NearFact_L","Ldist_NearFact_L","Nb_factories","Sea Production","Afric Azote","Africa Feed","Omega Fishing","Min_tt_factories","Min_Factory_name","mean_tt_factories","mean_Min_tt_factories","...1.y","NearMarket","dist_NearMarket","tt_NearMarket","NearMarket_L","Ldist_NearMarket_L","Nb_markets","distance_to_marine_km","distance_to_inland_km","proximity_to_water_km","geometry"
"1_101","1_101_9",2,22,2,134.128921508789,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.25425422491573,1,0,1,0,0,0,0,0,0,1,1,0,8,"men",1,1,6667,"Societe Des Produits Halieutiques (Sph Sarl)",77857.9663605177,158.16652224137,NA,NA,13,554.972654789531,496.369624409202,450.428498912247,404.663996924429,404.663996924429,"Omega Fishing",476.608693758852,476.608693758852,6667,"Ziguinchor",50096.2361301184,60.3553390593273,NA,NA,44,1.60594174763439,187.1951659426,1.60594174763439,c(-16.7273013, 12.3707649)
"1_101","1_101_10",2,22,2,134.128921508789,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28822348769002,0,0,1,0,0,0,0,0,0,1,1,1,4,"women",1,1,2397,"Societe Des Produits Halieutiques (Sph Sarl)",77857.9663605177,158.16652224137,NA,NA,13,554.972654789531,496.369624409202,450.428498912247,404.663996924429,404.663996924429,"Omega Fishing",476.608693758852,476.608693758852,2397,"Ziguinchor",50096.2361301184,60.3553390593273,NA,NA,44,1.60594174763439,187.1951659426,1.60594174763439,c(-16.7273013, 12.3707649)
"1_101","1_101_5",2,22,2,134.128921508789,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.961037033767538,0,0,1,0,0,0,0,0,0,1,1,0,7,"men",0,1,4885,"Societe Des Produits Halieutiques (Sph Sarl)",77857.9663605177,158.16652224137,NA,NA,13,554.972654789531,496.369624409202,450.428498912247,404.663996924429,404.663996924429,"Omega Fishing",476.608693758852,476.608693758852,4885,"Ziguinchor",50096.2361301184,60.3553390593273,NA,NA,44,1.60594174763439,187.1951659426,1.60594174763439,c(-16.7273013, 12.3707649)
"1_101","1_101_8",2,22,2,134.128921508789,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3.20862417725922,0,0,1,0,0,1,0,0,0,1,1,0,6,"men",0,0,3357,"Societe Des Produits Halieutiques (Sph Sarl)",77857.9663605177,158.16652224137,NA,NA,13,554.972654789531,496.369624409202,450.428498912247,404.663996924429,404.663996924429,"Omega Fishing",476.608693758852,476.608693758852,3357,"Ziguinchor",50096.2361301184,60.3553390593273,NA,NA,44,1.60594174763439,187.1951659426,1.60594174763439,c(-16.7273013, 12.3707649)
"1_101","1_101_6",2,22,2,134.128921508789,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.17691298798107,0,0,1,0,1,0,1,0,0,0,1,1,7,"men",0,1,2972,"Societe Des Produits Halieutiques (Sph Sarl)",77857.9663605177,158.16652224137,NA,NA,13,554.972654789531,496.369624409202,450.428498912247,404.663996924429,404.663996924429,"Omega Fishing",476.608693758852,476.608693758852,2972,"Ziguinchor",50096.2361301184,60.3553390593273,NA,NA,44,1.60594174763439,187.1951659426,1.60594174763439,c(-16.7273013, 12.3707649)
"1_103","1_103_9",2,22,2,167.466003417969,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.56870049316879,0,0,1,0,0,0,0,0,0,0,0,0,5,"men",0,0,1977,"Societe Des Produits Halieutiques (Sph Sarl)",56625.8446172016,138.681240867132,NA,NA,13,535.487373415293,476.884343034963,430.943217538009,385.17871555019,385.17871555019,"Omega Fishing",457.123412384614,457.123412384614,1977,"Ziguinchor",29309.1125338382,40.8700576850888,NA,NA,45,4.66141305601798,179.955578946726,4.66141305601798,c(-16.5862316, 12.556425)
"1_103","1_103_10",2,22,2,167.466003417969,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.751850278754,0,1,0,0,0,0,0,0,0,0,1,1,5,"women",1,1,233,"Societe Des Produits Halieutiques (Sph Sarl)",56625.8446172016,138.681240867132,NA,NA,13,535.487373415293,476.884343034963,430.943217538009,385.17871555019,385.17871555019,"Omega Fishing",457.123412384614,457.123412384614,233,"Ziguinchor",29309.1125338382,40.8700576850888,NA,NA,45,4.66141305601798,179.955578946726,4.66141305601798,c(-16.5862316, 12.556425)
"1_103","1_103_7",2,22,2,167.466003417969,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.21443695435472,0,0,1,1,0,0,0,0,0,0,1,1,6,"men",1,1,3479,"Societe Des Produits Halieutiques (Sph Sarl)",56625.8446172016,138.681240867132,NA,NA,13,535.487373415293,476.884343034963,430.943217538009,385.17871555019,385.17871555019,"Omega Fishing",457.123412384614,457.123412384614,3479,"Ziguinchor",29309.1125338382,40.8700576850888,NA,NA,45,4.66141305601798,179.955578946726,4.66141305601798,c(-16.5862316, 12.556425)
"1_103","1_103_4",2,22,2,167.466003417969,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.1114545026847,0,0,1,0,0,0,0,0,0,1,1,1,3,"women",1,1,1961,"Societe Des Produits Halieutiques (Sph Sarl)",56625.8446172016,138.681240867132,NA,NA,13,535.487373415293,476.884343034963,430.943217538009,385.17871555019,385.17871555019,"Omega Fishing",457.123412384614,457.123412384614,1961,"Ziguinchor",29309.1125338382,40.8700576850888,NA,NA,45,4.66141305601798,179.955578946726,4.66141305601798,c(-16.5862316, 12.556425)
"1_103","1_103_8",2,22,2,167.466003417969,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.1114545026847,0,0,1,0,0,0,0,0,0,1,1,0,2,"men",0,0,3761,"Societe Des Produits Halieutiques (Sph Sarl)",56625.8446172016,138.681240867132,NA,NA,13,535.487373415293,476.884343034963,430.943217538009,385.17871555019,385.17871555019,"Omega Fishing",457.123412384614,457.123412384614,3761,"Ziguinchor",29309.1125338382,40.8700576850888,NA,NA,45,4.66141305601798,179.955578946726,4.66141305601798,c(-16.5862316, 12.556425)
