"","hh_id","Aussie Group","Omaurci Sa","Alfa Service Limited Sarl","Somaesp Sarl","Rim Fish Meal","Mah El Turk Sarl","Xiangheshun-Mauritanie SA","Lemseafood","Atyfen","Sino-Rim","Africa Proteine","Mauritania Fishmeal Sarl","Continental Seafood Sa","MMOA Peche Farine Et Huile","SFHP Sarl","Ocean Proteine","Atlantic Proteine","Comapeche","Mouhit Al Baraka","Atlantic Peche","Sicop Industrie Sa","SMPC Sarl","Hongdong Intl Fishery Development Farine et Huile","Olvea Atlantic","Cofrima Proteine Sarl","MCF Sarl","SOREC Sa","Fimol Sarl","MTP Fish Sarl","SMVP Sa","MOCV Sarl","Moumena Fishing","Mauritania Business Sarl","Sahara Peche Sarl","Jin Zhuang Fishing","Proteine Seafood Sarl Farine & Huile","Inchiri Entreprenariat Farine & Huile","Not_identified","Not_identified","Sea Production","Barna Senegal","Afric Azote","Senegal Protein","Africa Feed","Omega Pelagic","Omega Fishing","Societe Des Produits Halieutiques (Sph Sarl)","Beal Meal","NDAM (Nouvelles Démarches Avicoles et Maritimes)","Nessim","Golden Lead Import/Export (Atlantic Fishmeal)","JXYG"
"24","1_355_8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439.994949366117,436.994949366117,439.994949366117,436.994949366117,436.994949366117,436.994949366117,436.994949366117,436.994949366117,436.994949366117,436.994949366117,455.252308678998,436.994949366117,136.40916292849,184.02438661764,235.965512114594,235.137084989848,199.379725676967,187.007142674937,213.391918985787,401.04877323528,187.007142674937,189.509667991878,394.475180106472,396.81832585698,409.462986797653
"25","1_191_6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.918830920369,434.918830920369,437.918830920369,434.918830920369,434.918830920369,434.918830920369,434.918830920369,434.918830920369,434.918830920369,434.918830920369,453.176190233249,434.918830920369,285.722871427475,381.688383542069,433.629509039024,432.801081914278,397.043722601397,383.84271247462,409.541197284456,559.198051533948,383.84271247462,387.173664916308,580.180807591245,571.198051533948,567.612265096321
"26","1_491_12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606.492424049176,603.492424049176,606.492424049176,603.492424049176,603.492424049176,603.492424049176,603.492424049176,603.492424049176,603.492424049176,603.492424049176,621.749783362056,603.492424049176,270.279220613579,196.279220613579,235.107647738325,234.279220613579,190.137084989848,140.568542494924,151.539105243401,234.551298552221,140.568542494924,197.865007051206,254.220346110533,246.551298552221,242.965512114594
"27","2_467_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467.031529292577,464.031529292577,467.031529292577,464.031529292577,464.031529292577,464.031529292577,464.031529292577,464.031529292577,464.031529292577,464.031529292577,482.288888605457,464.031529292577,304.894444302729,398.132034355965,450.07315985292,449.244732728174,413.487373415293,399.114790413263,424.813275223098,564.854905783441,399.114790413263,403.617315730204,589.340187157679,576.854905783441,573.269119345814
"28","1_163_6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496.894444302729,493.894444302729,496.894444302729,493.894444302729,493.894444302729,493.894444302729,493.894444302729,493.894444302729,493.894444302729,493.894444302729,512.15180361561,493.894444302729,157.610173055266,130.840620433566,176.982756057297,176.154328932551,136.740115370178,113.78174593052,140.066017177982,344.977705423414,113.78174593052,133.01219330882,326.80613254816,329.149278298668,342.391918985787
"29","2_504_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632.220346110534,629.220346110534,632.220346110534,629.220346110534,629.220346110534,629.220346110534,629.220346110534,629.220346110534,629.220346110534,629.220346110534,647.477705423414,629.220346110534,308.291413922399,238.977705423414,277.80613254816,276.977705423414,232.835569799683,183.267027304759,194.237590053236,228.178715550191,183.267027304759,240.563491861041,252.663996924429,240.178715550191,236.592929112564
"30","1_159_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498.722871427475,495.722871427475,498.722871427475,495.722871427475,495.722871427475,495.722871427475,495.722871427475,495.722871427475,495.722871427475,495.722871427475,513.980230740356,495.722871427475,161.095454429505,138.083261120685,184.225396744416,183.39696961967,143.154328932551,119.367532368147,144.480230740355,343.149278298668,119.367532368147,140.254833995939,326.634559672906,328.977705423414,342.220346110533
"31","2_214_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398.350288425444,395.350288425444,398.350288425444,395.350288425444,395.350288425444,395.350288425444,395.350288425444,395.350288425444,395.350288425444,395.350288425444,413.607647738325,395.350288425444,24.5563491861041,158.681240867132,211.79393923934,210.965512114594,183.40916292849,197.982756057297,231.053823869163,486.747258045115,197.982756057297,164.509667991878,457.918830920368,460.261976670876,473.504617357995
"32","2_284_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,676.235064736295,673.235064736295,676.235064736295,673.235064736295,673.235064736295,673.235064736295,673.235064736295,673.235064736295,673.235064736295,673.235064736295,691.492424049176,673.235064736295,329.494949366117,232.992424049175,267.477705423414,266.649278298668,221.53657992646,171.767027304759,182.737590053236,212.29393923934,171.767027304759,233.163996924429,224.323376490863,224.29393923934,220.708152801713
"33","1_514_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632.43354954613,629.43354954613,632.43354954613,629.43354954613,629.43354954613,629.43354954613,629.43354954613,629.43354954613,629.43354954613,629.43354954613,647.690908859011,629.43354954613,322.203102167831,274.220346110533,314.563491861041,313.735064736295,269.592929112564,220.02438661764,230.994949366117,264.634559672907,220.02438661764,276.391918985787,289.119841047145,276.634559672907,273.04877323528
"34","1_319_11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528.43354954613,525.43354954613,528.43354954613,525.43354954613,525.43354954613,525.43354954613,525.43354954613,525.43354954613,525.43354954613,525.43354954613,543.690908859011,525.43354954613,161.568542494924,37.3847763108502,83.5269119345812,82.698484809835,43.6274169979695,52.9705627484771,85.2132034355964,355.852813742386,52.9705627484771,39.556349186104,323.468037431535,328.053823869162,341.296464556282
"35","2_579_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406.078210486803,312.989898732234,347.475180106473,346.646752981727,301.534054609518,251.764501987818,262.735064736295,123.497474683058,251.764501987818,313.161471607488,147.982756057297,135.497474683058,131.911688245431
"36","2_105_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497.031529292577,403.943217538009,438.428498912247,437.600071787501,392.487373415293,342.717820793592,346.722871427475,100.225396744416,342.717820793592,404.114790413263,124.710678118655,112.225396744416,108.639610306789
"37","1_329_8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560.146752981726,557.146752981726,560.146752981726,557.146752981726,557.146752981726,557.146752981726,557.146752981726,557.146752981726,557.146752981726,557.146752981726,575.404112294607,557.146752981726,193.28174593052,45.6421356237309,86.3700576850888,85.5416305603426,44.4705627484771,65.9558441227157,96.5416305603426,369.666522241371,65.9558441227157,45.8137084989848,337.28174593052,341.867532368147,355.110173055267
"38","1_487_9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567.671139599367,564.671139599367,567.671139599367,564.671139599367,564.671139599367,564.671139599367,564.671139599367,564.671139599367,564.671139599367,564.671139599367,582.928498912248,564.671139599367,384.705627484772,452.747258045115,504.688383542069,503.859956417323,465.960461480711,436.274169979696,457.529003975636,564.967604155649,436.274169979696,458.232539419353,589.452885529888,576.967604155649,573.381817718022
